DATE,PPIACO,CPIAUCSL,M1SL,UNRATE,FEDFUNDS
10/1/1979,96.3615,96.41026,98.70399,95.2381,99.63821
11/1/1979,96.94836,97.4359,98.70399,93.65079,95.36903
12/1/1979,97.88732,98.58974,98.96319,95.2381,99.71056
1/1/1980,100,100,100,100,100
2/1/1980,101.99531,101.28205,101.11457,100,102.24313
3/1/1980,102.69953,102.69231,100.67392,100,124.38495
4/1/1980,103.05164,103.71795,99.4816,109.52381,127.42402
5/1/1980,103.6385,104.74359,99.7408,119.04762,79.45007
6/1/1980,104.10798,105.76923,100.85537,120.63492,68.52388
7/1/1980,105.98592,105.89744,102.12545,123.80952,65.34009
8/1/1980,107.39437,106.66667,103.4733,122.22222,69.5369
9/1/1980,107.62911,107.5641,104.92483,119.04762,78.65412
10/1/1980,108.92019,108.58974,106.01348,119.04762,92.69175
11/1/1980,109.38967,109.74359,106.45412,119.04762,114.68886
12/1/1980,110.0939,110.76923,105.88388,114.28571,136.75832
1/1/1981,111.73709,111.79487,106.60964,119.04762,138.06078
2/1/1981,112.79343,112.82051,107.51685,117.46032,115.26773
3/1/1981,113.84977,113.58974,108.6055,117.46032,106.36758
4/1/1981,115.02347,114.23077,110.78279,114.28571,113.74819
5/1/1981,115.37559,115,110.08294,119.04762,134.00868
6/1/1981,115.61033,116.02564,110.21255,119.04762,138.2055
7/1/1981,116.19718,117.30769,110.65319,114.28571,137.77135
8/1/1981,116.19718,118.20513,110.65319,117.46032,128.94356
9/1/1981,115.96244,119.35897,110.67911,120.63492,114.83357
10/1/1981,116.07981,119.74359,111.04199,125.39683,109.11722
11/1/1981,115.96244,120.25641,111.79368,131.74603,96.3097
12/1/1981,115.96244,120.64103,113.19336,134.92063,89.50796
1/1/1982,117.01878,121.02564,114.74857,136.50794,95.65847
2/1/1982,117.13615,121.41026,114.54121,141.26984,106.94645
3/1/1982,116.90141,121.41026,114.74857,142.85714,106.22287
4/1/1982,116.90141,121.79487,115.88906,147.61905,108.1042
5/1/1982,117.13615,122.94872,115.78538,149.20635,104.55861
6/1/1982,117.37089,124.35897,115.99274,152.38095,102.38784
7/1/1982,117.84038,125,116.12234,155.55556,91.09986
8/1/1982,117.723,125.25641,117.00363,155.55556,73.22721
9/1/1982,117.37089,125.25641,118.42924,160.31746,74.60203
10/1/1982,117.60563,125.76923,120.39917,165.07937,70.26049
11/1/1982,117.723,125.64103,122.21358,171.42857,66.57019
12/1/1982,117.95775,125.25641,123.06895,171.42857,64.76122
1/1/1983,117.60563,125.51282,123.69103,165.07937,62.80753
2/1/1983,117.95775,125.64103,125.53136,165.07937,61.57742
3/1/1983,117.84038,125.76923,127.16433,163.49206,63.45876
4/1/1983,117.84038,126.66667,127.83826,161.90476,63.67583
5/1/1983,118.30986,127.17949,129.60083,160.31746,62.44573
6/1/1983,118.5446,127.4359,130.63764,160.31746,64.97829
7/1/1983,118.89671,127.94872,131.6226,149.20635,67.80029
8/1/1983,119.48357,128.33333,132.32245,150.79365,69.17511
9/1/1983,119.71831,128.71795,132.91861,146.03175,68.37916
10/1/1983,119.95305,129.23077,134.0591,139.68254,68.59624
11/1/1983,119.83568,129.61538,134.52566,134.92063,67.58321
12/1/1983,120.07042,130,135.14774,131.74603,68.52388
1/1/1984,120.77465,130.89744,136.10679,126.98413,69.17511
2/1/1984,121.12676,131.53846,136.72888,123.80952,69.39219
3/1/1984,121.94836,131.92308,137.73976,123.80952,71.70767
4/1/1984,122.06573,132.4359,138.67289,122.22222,74.45731
5/1/1984,122.1831,132.69231,139.11353,117.46032,74.67438
6/1/1984,122.06573,132.94872,140.02074,114.28571,80.02894
7/1/1984,122.30047,133.46154,140.20218,119.04762,81.25904
8/1/1984,121.83099,133.84615,140.2281,119.04762,84.22576
9/1/1984,121.3615,134.23077,140.77242,115.87302,81.76556
10/1/1984,121.3615,134.74359,140.92794,117.46032,72.28654
11/1/1984,121.71362,135,141.91291,114.28571,68.23444
12/1/1984,121.47887,135.25641,142.97564,115.87302,60.63676
1/1/1985,121.3615,135.51282,144.37532,115.87302,60.41968
2/1/1985,121.24413,136.28205,146.08605,114.28571,61.50507
3/1/1985,121.00939,136.92308,146.86366,114.28571,62.08394
4/1/1985,121.24413,137.17949,147.84863,115.87302,59.84081
5/1/1985,121.47887,137.4359,149.06687,114.28571,57.67004
6/1/1985,121.24413,137.82051,150.93313,117.46032,54.48625
7/1/1985,121.12676,138.07692,152.6957,117.46032,57.01881
8/1/1985,120.53991,138.33333,154.53603,112.69841,57.16353
9/1/1985,119.83568,138.58974,156.37636,112.69841,57.30825
10/1/1985,120.77465,139.10256,157.54277,112.69841,57.81476
11/1/1985,121.3615,139.74359,158.68326,111.11111,58.24891
12/1/1985,121.59624,140.38462,160.65319,111.11111,59.84081
1/1/1986,121.12676,140.89744,161.06791,106.34921,58.90014
2/1/1986,119.3662,140.64103,162.05288,114.28571,56.8741
3/1/1986,117.723,139.87179,164.20425,114.28571,54.12446
4/1/1986,116.90141,139.35897,166.14826,112.69841,50.57887
5/1/1986,117.37089,139.74359,168.99948,114.28571,49.56585
6/1/1986,117.25352,140.25641,171.22862,114.28571,50.07236
7/1/1986,116.66667,140.38462,173.74287,111.11111,47.46744
8/1/1986,116.5493,140.51282,175.92017,109.52381,44.64544
9/1/1986,116.66667,141.02564,178.17522,111.11111,42.61939
10/1/1986,117.01878,141.28205,180.11923,111.11111,42.32996
11/1/1986,117.13615,141.53846,182.84085,109.52381,43.70478
12/1/1986,117.01878,142.05128,187.84344,104.7619,50
1/1/1987,117.95775,142.82051,189.26905,104.7619,46.52677
2/1/1987,118.5446,143.33333,189.39865,104.7619,44.13893
3/1/1987,118.77934,143.84615,190.20218,104.7619,44.35601
4/1/1987,119.60094,144.48718,192.82011,100,46.09262
5/1/1987,120.42254,144.87179,193.3126,100,49.56585
6/1/1987,120.89202,145.51282,192.63867,98.4127,48.69754
7/1/1987,121.47887,145.89744,192.58683,96.8254,47.61216
8/1/1987,121.83099,146.53846,193.07932,95.2381,48.69754
9/1/1987,121.71362,147.05128,193.77916,93.65079,52.24313
10/1/1987,122.1831,147.4359,196.00829,95.2381,52.74964
